fldOeeRegTableKeyID,fldOeeRegNr,fldOeeMachineCode,fldOeeMachineID,fldOeeMachineDescription,fldOeeMachineStatusID,fldOeeMachineStatusDescription,fldOeeCountryID,fldOeeCountryDescription,fldOeePlantID,fldOeePlantDescription,fldOeeSubPlantID,fldOeeSubPlantDescription,fldOeeDepartmentID,fldOeeDepartmentDescription,fldOeeStartDateTime,fldOeeEndDateTime,fldOeeActivityDuration,fldOeeTeamID,fldOeeTeamDescription,fldOeeTeamColorID,fldOeeTeamColorDescription,fldOeeShiftTimeID,fldOeeShiftTimeDescription,fldOeeShiftStartDateTime,fldOeeShiftEndDateTime,fldOeeShiftDuration,fldOeeAverageSpeed,fldOeeNormSpeed,fldOeeCounter,fldOeeCounterUnitID,fldOeeCounterUnitDescription,fldOeeActivityGroupID,fldOeeActivityGroupDescription,fldOeeActivityID,fldOeeActivityDescription,fldOeeArticleNr,fldOeeArticleDescription,fldOeeOrderNr,fldOeeOrderDescription,fldOeeUserLogInformation,fldOeeUserShiftLogInformation,fldOeeCurrentPerformance,fldOeeCurrentAvailability,fldOeeCurrentQuality,fldOeeCurrentOee,fldOeeActivityGroupCalcForOee,fldOeeDateModified,fldOeeSyncDate,fldOeeSync
1,107,1477,3,Jeden Test 1,5,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 12:45:07,2016-03-24 13:18:17,1990,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,0,1,Meters,2,Predefined,1,OEE I/O Failure,,,,,,,100,0,100,67,1,,,
2,108,1477,3,Jeden Test 1,7,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 13:19:15,2016-03-24 13:20:19,64,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,,65,0,1,Meters,0,Predefined,0,Start OEECollector,,,,,,,100,0,100,67,0,,,
3,109,1477,3,Jeden Test 1,3,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 13:20:19,2016-03-24 13:22:30,131,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,0,1,Meters,0,Short break,71,Short break,,,,,,,100,0,100,67,1,,,
4,110,1477,3,Jeden Test 1,5,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 13:22:30,2016-03-24 13:28:19,349,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,0,1,Meters,4,Unscheduled,47,Line scheduled stop,,,,,,,100,0,100,67,0,,,
5,111,1477,3,Jeden Test 1,6,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 13:28:19,,0,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,,65,0,1,Meters,0,Predefined,0,Manual exit OEECollector,,,,,,,100,0,100,67,1,,,
